"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","TC-10 | Logout redirects to login page","firefox","2026-06-21","skipped","2026-06-21","Inventory page — product catalog","inventory.spec.ts","",""
"","0","TC-08 | Add item to cart updates badge","webkit","2026-06-21","skipped","2026-06-21","Inventory page — product catalog","inventory.spec.ts","",""
"","0","TC-01 | Valid login redirects to inventory page","webkit","2026-06-21","skipped","2026-06-21","Login functionality — SauceDemo","login.spec.ts","",""
"","0","TC-06 | Sort products by name A to Z","webkit","2026-06-21","skipped","2026-06-21","Inventory page — product catalog","inventory.spec.ts","",""
"","0","TC-10 | Logout redirects to login page","webkit","2026-06-21","skipped","2026-06-21","Inventory page — product catalog","inventory.spec.ts","",""
"","3289","TC-04 | Login page screenshot baseline","chromium","2026-06-25","passed","2026-06-25","Login functionality — SauceDemo","login.spec.ts","",""
"","0","TC-09 | Full E2E: add to cart and proceed to checkout","webkit","2026-06-21","skipped","2026-06-21","Inventory page — product catalog","inventory.spec.ts","",""
"","0","TC-08 | Add item to cart updates badge","firefox","2026-06-21","skipped","2026-06-21","Inventory page — product catalog","inventory.spec.ts","",""
"","14859","TC-07 | Sort products by name Z to A","chromium","2026-06-25","passed","2026-06-25","Inventory page — product catalog","inventory.spec.ts","",""
"","4802","TC-02 | Invalid credentials show error message","chromium","2026-06-25","passed","2026-06-25","Login functionality — SauceDemo","login.spec.ts","",""
"","21457","TC-10 | Logout redirects to login page","chromium","2026-06-25","passed","2026-06-25","Inventory page — product catalog","inventory.spec.ts","",""
"","0","TC-04 | Login page screenshot baseline","webkit","2026-06-21","skipped","2026-06-21","Login functionality — SauceDemo","login.spec.ts","",""
"","21189","TC-06 | Sort products by name A to Z","chromium","2026-06-25","passed","2026-06-25","Inventory page — product catalog","inventory.spec.ts","",""
"","17750","TC-09 | Full E2E: add to cart and proceed to checkout","chromium","2026-06-25","passed","2026-06-25","Inventory page — product catalog","inventory.spec.ts","",""
"","120008","TC-05 | Inventory page displays 6 products","firefox","2026-06-09","broken","2026-06-09","Inventory page — product catalog","inventory.spec.ts","",""
"","0","TC-07 | Sort products by name Z to A","webkit","2026-06-21","skipped","2026-06-21","Inventory page — product catalog","inventory.spec.ts","",""
"","0","TC-09 | Full E2E: add to cart and proceed to checkout","firefox","2026-06-21","skipped","2026-06-21","Inventory page — product catalog","inventory.spec.ts","",""
"","28401","TC-05 | Inventory page displays 6 products","webkit","2026-06-09","passed","2026-06-09","Inventory page — product catalog","inventory.spec.ts","",""
"","0","TC-02 | Invalid credentials show error message","firefox","2026-06-21","skipped","2026-06-21","Login functionality — SauceDemo","login.spec.ts","",""
"","1","TC-03 | Locked out user sees specific error","webkit","2026-06-21","skipped","2026-06-21","Login functionality — SauceDemo","login.spec.ts","",""
"","0","TC-03 | Locked out user sees specific error","firefox","2026-06-21","skipped","2026-06-21","Login functionality — SauceDemo","login.spec.ts","",""
"","0","TC-06 | Sort products by name A to Z","firefox","2026-06-21","skipped","2026-06-21","Inventory page — product catalog","inventory.spec.ts","",""
"","44128","TC-01 | Valid login redirects to inventory page","chromium","2026-06-25","passed","2026-06-25","Login functionality — SauceDemo","login.spec.ts","",""
"","23368","TC-08 | Add item to cart updates badge","chromium","2026-06-25","passed","2026-06-25","Inventory page — product catalog","inventory.spec.ts","",""
"","21062","TC-05 | Inventory page displays 6 products","chromium","2026-06-25","passed","2026-06-25","Inventory page — product catalog","inventory.spec.ts","",""
"","3010","TC-03 | Locked out user sees specific error","chromium","2026-06-25","passed","2026-06-25","Login functionality — SauceDemo","login.spec.ts","",""
"","0","TC-07 | Sort products by name Z to A","firefox","2026-06-21","skipped","2026-06-21","Inventory page — product catalog","inventory.spec.ts","",""
"","0","TC-02 | Invalid credentials show error message","webkit","2026-06-21","skipped","2026-06-21","Login functionality — SauceDemo","login.spec.ts","",""
"","0","TC-04 | Login page screenshot baseline","firefox","2026-06-21","skipped","2026-06-21","Login functionality — SauceDemo","login.spec.ts","",""
"","0","TC-01 | Valid login redirects to inventory page","firefox","2026-06-21","skipped","2026-06-21","Login functionality — SauceDemo","login.spec.ts","",""
